"normalized_structural_signature","occurrence_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>MUXF8>LUT6>LUT3>LUT3>LUT6|FDCE","13","-0.942000000","0.012713580","0.125000000","0.073000000","0.124000000","0.125000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>MUXF8>LUT6>LUT3>LUT4>LUT6|FDCE","1","-0.133000000","0.001795017","0.133000000","0.133000000","0.133000000","0.133000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>MUXF8>LUT6>LUT3>LUT6|FDCE","13","-1.083000000","0.014616568","0.113000000","0.094000000","0.110000000","0.113000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>MUXF8>LUT6>LUT3|FDCE","5","-0.290000000","0.003913947","0.090000000","0.057000000","0.090000000","0.090000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7>MUXF8>LUT6>LUT5>LUT6|FDCE","6","-0.348000000","0.004696737","0.104000000","0.031000000","0.104000000","0.104000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6>MUXF7|FDCE","9","-0.216000000","0.002915216","0.070000000","0.017000000","0.070000000","0.070000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6|DSP_A_B_DATA","23","-0.461000000","0.006221826","0.065000000","0.016000000","0.042000000","0.065000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6|FDCE","11","-0.150000000","0.002024455","0.022000000","0.011000000","0.022000000","0.022000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6|FDRE","19","-0.738000000","0.009960321","0.080000000","0.047000000","0.068000000","0.080000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>LUT6|RAMD64E","16","-0.512000000","0.006910141","0.061000000","0.003000000","0.061000000","0.061000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF7>LUT6>LUT6>LUT6|FDRE","4","-0.284000000","0.003832969","0.122000000","0.050000000","0.122000000","0.122000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF7>MUXF8>LUT6>LUT3>LUT3>LUT6|FDCE","1","-0.056000000","0.000755797","0.056000000","0.056000000","0.056000000","0.056000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF7>MUXF8>LUT6>LUT3>LUT4>LUT6|FDCE","2","-0.182000000","0.002456339","0.121000000","0.061000000","0.121000000","0.121000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF7>MUXF8>LUT6>LUT3>LUT6|FDCE","3","-0.279000000","0.003765487","0.125000000","0.084000000","0.125000000","0.125000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF7>MUXF8>LUT6>LUT3|FDCE","2","-0.068000000","0.000917753","0.042000000","0.026000000","0.042000000","0.042000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF7>MUXF8>LUT6>LUT5>LUT6|FDCE","1","-0.058000000","0.000782789","0.058000000","0.058000000","0.058000000","0.058000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF8>LUT6>LUT3>LUT3>LUT6|FDCE","2","-0.190000000","0.002564310","0.101000000","0.089000000","0.101000000","0.101000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF8>LUT6>LUT3>LUT4>LUT6|FDCE","1","-0.080000000","0.001079710","0.080000000","0.080000000","0.080000000","0.080000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF8>LUT6>LUT3>LUT6|FDCE","5","-0.428000000","0.005776446","0.103000000","0.088000000","0.103000000","0.103000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>MUXF8>LUT6>LUT3|FDCE","3","-0.101000000","0.001363133","0.050000000","0.031000000","0.050000000","0.050000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT3|FDCE","47","-3.188000000","0.043026426","0.137000000","0.066000000","0.115000000","0.137000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","57","-3.501000000","0.047250790","0.133000000","0.063000000","0.109000000","0.133000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT6>MUXF7|FDCE","12","-0.816000000","0.011013037","0.139000000","0.062000000","0.126000000","0.139000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>MUXF7>MUXF8>LUT6>LUT4|FDCE","3","-0.184000000","0.002483332","0.112000000","0.041000000","0.112000000","0.112000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>MUXF7>MUXF8>LUT6>LUT6>LUT4|FDCE","2","-0.260000000","0.003509056","0.132000000","0.128000000","0.132000000","0.132000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE|FDRE","25","-0.936000000","0.012632602","0.085000000","0.037000000","0.070000000","0.085000000"
"FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE|RAMD64E","62","-1.655000000","0.022336491","0.088000000","0.020000000","0.064000000","0.088000000"
"FDRE|INBUF>IBUFCTRL>BUFGCE>FDRE>LUT3>LUT5>LUT6>CARRY8>CARRY8>CARRY8|FDRE","14","-0.868000000","0.011714849","0.117000000","0.058000000","0.116000000","0.117000000"
"FDRE|INBUF>IBUFCTRL>BUFGCE>FDRE>LUT3>LUT5>LUT6>CARRY8>CARRY8|FDRE","10","-0.439000000","0.005924906","0.082000000","0.043000000","0.081000000","0.082000000"
"FDRE|INBUF>IBUFCTRL>BUFGCE>FDRE|DSP_A_B_DATA","1","-0.089000000","0.001201177","0.089000000","0.089000000","0.089000000","0.089000000"
"FDRE|INBUF>IBUFCTRL>BUFGCE>FDRE|FDRE","201","-7.990000000","0.107835992","0.133000000","0.038000000","0.078000000","0.109000000"
"FDSE|INBUF>IBUFCTRL>BUFGCE>FDSE|FDCE","41","-1.327000000","0.017909682","0.089000000","0.027000000","0.071000000","0.089000000"
