index,slack,datapath_delay,logic_levels,startpoint,endpoint
5155,-0.114,2.008,2,red_active_reg/C,red_s0_data_reg[39][16]/CE
5156,-0.114,2.008,2,red_active_reg/C,red_s0_data_reg[39][17]/CE
5157,-0.114,2.008,2,red_active_reg/C,red_s0_data_reg[39][18]/CE
5158,-0.114,2.008,2,red_active_reg/C,red_s0_data_reg[39][19]/CE
5159,-0.113,2.094,4,bf_cycle_reg[2]/C,signal_reg_reg[83][4]/D
5160,-0.113,2.093,3,bf_cycle_reg[2]/C,signal_reg_reg[74][1]/D
5161,-0.113,2.093,3,bf_cycle_reg[2]/C,signal_reg_reg[90][1]/D
5162,-0.113,2.093,5,bf_cycle_reg[2]/C,signal_reg_reg[37][7]/D
5163,-0.113,2.092,4,bf_cycle_reg[5]/C,signal_reg_reg[39][3]/D
5164,-0.112,2.095,5,red_s0_data_reg[5][0]/C,dot_value_bank_reg[1][6][17]/D
5165,-0.112,2.092,7,bf_cycle_reg[0]/C,signal_reg_reg[23][19]/D
