index,slack,datapath_delay,logic_levels,startpoint,endpoint
649,-0.672,2.652,7,operand_x_reg_reg[55][7]/C,lane_product_reg_reg[55][15]/D
650,-0.672,2.655,7,operand_x_reg_reg[5][5]/C,lane_product_reg_reg[5][14]/D
651,-0.672,2.653,5,vector_buf_a_reg[53][4]/C,operand_x_reg_reg[44][4]/D
652,-0.672,2.652,4,vector_buf_b_reg[35][12]/C,operand_x_reg_reg[24][12]/D
653,-0.671,2.652,7,bf_cycle_reg[0]/C,signal_reg_reg[22][16]/D
654,-0.671,2.652,7,bf_cycle_reg[0]/C,signal_reg_reg[49][16]/D
655,-0.671,2.653,7,operand_x_reg_reg[124][1]/C,lane_product_reg_reg[124][1]/D
656,-0.671,2.651,7,operand_x_reg_reg[62][11]/C,lane_product_reg_reg[62][19]/D
657,-0.671,2.652,7,operand_x_reg_reg[62][11]/C,lane_product_reg_reg[62][12]/D
658,-0.671,2.652,6,bf_cycle_reg[4]/C,signal_reg_reg[74][22]/D
659,-0.671,2.652,1,issue_cycle_reg[1]_rep__4/C,sched_coeff_reg_reg[8][4]/D
660,-0.671,2.652,7,bf_cycle_reg[5]/C,signal_reg_reg[56][16]/D
661,-0.671,2.651,7,bf_cycle_reg[0]/C,signal_reg_reg[114][12]/D
662,-0.670,2.653,7,operand_x_reg_reg[103][0]/C,lane_product_reg_reg[103][13]/D
663,-0.670,2.651,7,operand_x_reg_reg[82][1]/C,lane_product_reg_reg[82][1]/D
664,-0.670,2.652,5,vector_buf_b_reg[21][4]/C,operand_x_reg_reg[117][4]/D
665,-0.670,2.651,6,bf_cycle_reg[0]/C,signal_reg_reg[62][22]/D
666,-0.670,2.651,6,bf_cycle_reg[4]/C,signal_reg_reg[90][22]/D
667,-0.670,2.650,5,vector_buf_b_reg[46][11]/C,operand_x_reg_reg[36][11]/D
668,-0.669,2.651,4,vector_buf_b_reg[9][4]/C,operand_x_reg_reg[58][4]/D
669,-0.669,2.649,6,bf_cycle_reg[5]/C,signal_reg_reg[93][5]/D
670,-0.669,2.650,7,operand_x_reg_reg[125][7]/C,lane_product_reg_reg[125][10]/D
671,-0.669,2.652,7,operand_x_reg_reg[126][14]/C,lane_product_reg_reg[126][15]/D
672,-0.669,2.652,7,operand_x_reg_reg[53][0]/C,lane_product_reg_reg[53][8]/D
673,-0.669,2.651,7,operand_x_reg_reg[85][0]/C,lane_product_reg_reg[85][17]/D
674,-0.669,2.650,7,operand_x_reg_reg[105][3]/C,lane_product_reg_reg[105][15]/D
675,-0.669,2.651,7,operand_x_reg_reg[26][3]/C,lane_product_reg_reg[26][9]/D
676,-0.669,2.652,7,operand_x_reg_reg[83][13]/C,lane_product_reg_reg[83][15]/D
677,-0.669,2.650,6,bf_cycle_reg[0]/C,signal_reg_reg[78][22]/D
678,-0.669,2.649,3,vector_buf_b_reg[39][13]/C,operand_x_reg_reg[81][13]/D
679,-0.669,2.650,1,issue_cycle_reg[1]_rep__0/C,sched_src_reg_reg[40][5]_rep__4/D
680,-0.669,2.650,4,vector_buf_b_reg[52][11]/C,operand_x_reg_reg[109][11]/D
681,-0.669,2.648,4,sched_src_reg_reg[5][1]/C,operand_x_reg_reg[33][7]/D
682,-0.668,2.650,5,vector_buf_b_reg[25][14]/C,operand_x_reg_reg[39][14]/D
683,-0.668,2.650,7,operand_coeff_reg_reg[118][2]/C,lane_product_reg_reg[118][11]/D
684,-0.668,2.650,7,operand_coeff_reg_reg[118][2]/C,lane_product_reg_reg[118][22]/D
685,-0.668,2.649,2,sched_src_reg_reg[46][1]_rep__4/C,operand_x_reg_reg[111][9]/D
686,-0.668,2.650,5,vector_buf_b_reg[21][4]/C,operand_x_reg_reg[74][4]/D
687,-0.668,2.649,4,vector_buf_b_reg[0][5]/C,operand_x_reg_reg[2][5]/D
688,-0.668,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][12]/CE
