index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
303,C_other_cache_kernel_or_write,-0.903000,2.883000,0.469000,2.414000,"6","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__4/C","vwrite_cmd_data_q_reg[0][12]/D","SLICE_X89Y73","SLICE_X77Y56",""
304,B_kernel_control_to_p4_input_mem,-0.903000,2.883000,0.603000,2.280000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[1][60][13]/D","SLICE_X101Y76","SLICE_X84Y44",""
305,B_kernel_control_to_p4_input_mem,-0.903000,2.885000,0.601000,2.284000,"6","lfnst_grid_reg[31][14]/C","u_unified_p4_kernel/input_mem_reg[2][60][14]/D","SLICE_X102Y88","SLICE_X80Y47",""
306,B_kernel_control_to_p4_input_mem,-0.903000,2.883000,0.546000,2.337000,"6","lfnst_grid_reg[20][14]/C","u_unified_p4_kernel/input_mem_reg[3][22][14]/D","SLICE_X103Y71","SLICE_X96Y14",""
307,B_kernel_control_to_p4_input_mem,-0.903000,2.883000,0.546000,2.337000,"6","lfnst_grid_reg[20][14]/C","u_unified_p4_kernel/input_mem_reg[2][54][14]/D","SLICE_X103Y71","SLICE_X82Y17",""
308,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAMA/WE","SLICE_X77Y156","SLICE_X75Y215",""
309,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAMB/WE","SLICE_X77Y156","SLICE_X75Y215",""
310,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAMC/WE","SLICE_X77Y156","SLICE_X75Y215",""
311,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAMD/WE","SLICE_X77Y156","SLICE_X75Y215",""
312,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAME/WE","SLICE_X77Y156","SLICE_X75Y215",""
313,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAMF/WE","SLICE_X77Y156","SLICE_X75Y215",""
314,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAMG/WE","SLICE_X77Y156","SLICE_X75Y215",""
315,C_other_cache_read_or_response,-0.902000,2.701000,0.589000,2.112000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[2].u_input_cache_bank/data_mem_reg_704_767_0_6/RAMH/WE","SLICE_X77Y156","SLICE_X75Y215",""
316,B_kernel_control_to_p4_input_mem,-0.902000,2.882000,0.474000,2.408000,"6","lfnst_grid_reg[10][8]/C","u_unified_p4_kernel/input_mem_reg[0][18][8]/D","SLICE_X103Y77","SLICE_X87Y6",""
317,B_kernel_control_to_p4_input_mem,-0.902000,2.885000,0.365000,2.520000,"6","kernel_vector_q_reg[1]_rep__2/C","u_unified_p4_kernel/input_mem_reg[0][35][2]/D","SLICE_X100Y81","SLICE_X107Y19",""
318,B_kernel_control_to_p4_input_mem,-0.902000,2.884000,0.667000,2.217000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[3][34][1]/D","SLICE_X102Y81","SLICE_X83Y14",""
319,B_kernel_control_to_p4_input_mem,-0.902000,2.883000,0.554000,2.329000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][5][13]/D","SLICE_X101Y76","SLICE_X103Y34",""
320,B_kernel_control_to_p4_input_mem,-0.902000,2.883000,0.716000,2.167000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[3][59][1]/D","SLICE_X102Y81","SLICE_X104Y28",""
321,B_kernel_control_to_p4_input_mem,-0.902000,2.883000,0.667000,2.216000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[3][30][1]/D","SLICE_X102Y81","SLICE_X97Y16",""
322,B_kernel_control_to_p4_input_mem,-0.902000,2.881000,0.469000,2.412000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][50][11]/D","SLICE_X101Y76","SLICE_X84Y20",""
323,B_kernel_control_to_p4_input_mem,-0.901000,2.884000,0.716000,2.168000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[2][27][1]/D","SLICE_X102Y81","SLICE_X107Y25",""
