"ingress_bit","endpoint_d","startpoint","slack","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","start_cell","start_loc","start_site","start_tile","start_tile_x","start_tile_y","start_clock_region","end_cell","end_loc","end_site","end_tile","end_tile_x","end_tile_y","end_clock_region","source_family"
"45","u_dut/u_unified_p4_kernel/ingress_data_q_reg[45]/D","u_dut/lfnst_grid_reg[18][13]/C","-0.136","5","0.497","1.463","1.960","u_dut/lfnst_grid_reg[18][13]","SLICE_X55Y165","SLICE_X55Y165","CLEM_X36Y165","207","77","X1Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[45]","SLICE_X72Y141","SLICE_X72Y141","CLEL_R_X46Y141","251","102","X2Y2","lfnst_grid"
"46","u_dut/u_unified_p4_kernel/ingress_data_q_reg[46]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.018","5","0.459","1.551","2.010","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[46]","SLICE_X68Y137","SLICE_X68Y137","CLEL_R_X44Y137","243","106","X2Y2","kernel_vector"
"47","u_dut/u_unified_p4_kernel/ingress_data_q_reg[47]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.066","5","0.446","1.589","2.035","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[47]","SLICE_X72Y140","SLICE_X72Y140","CLEL_R_X46Y140","251","103","X2Y2","kernel_vector"
"48","u_dut/u_unified_p4_kernel/ingress_data_q_reg[48]/D","u_dut/kernel_vector_q_reg[2]/C","-0.050","4","0.431","1.558","1.989","u_dut/kernel_vector_q_reg[2]","SLICE_X68Y157","SLICE_X68Y157","CLEL_R_X44Y157","243","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[48]","SLICE_X70Y136","SLICE_X70Y136","CLEL_R_X45Y136","246","107","X2Y2","kernel_vector"
"49","u_dut/u_unified_p4_kernel/ingress_data_q_reg[49]/D","u_dut/kernel_vector_q_reg[0]_rep__0/C","-0.078","5","0.371","1.683","2.054","u_dut/kernel_vector_q_reg[0]_rep__0","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[49]","SLICE_X68Y137","SLICE_X68Y137","CLEL_R_X44Y137","243","106","X2Y2","kernel_vector"
"4","u_dut/u_unified_p4_kernel/ingress_data_q_reg[4]/D","u_dut/kernel_stage_q_reg/C","-0.086","6","0.580","1.381","1.961","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[4]","SLICE_X72Y134","SLICE_X72Y134","CLEL_R_X46Y134","251","109","X2Y2","kernel_stage"
"50","u_dut/u_unified_p4_kernel/ingress_data_q_reg[50]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.113","5","0.358","1.689","2.047","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[50]","SLICE_X68Y131","SLICE_X68Y131","CLEL_R_X44Y131","243","112","X2Y2","kernel_vector"
"51","u_dut/u_unified_p4_kernel/ingress_data_q_reg[51]/D","u_dut/kernel_vector_q_reg[0]_rep__0/C","0.066","5","0.406","1.438","1.844","u_dut/kernel_vector_q_reg[0]_rep__0","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[51]","SLICE_X72Y137","SLICE_X72Y137","CLEL_R_X46Y137","251","106","X2Y2","kernel_vector"
"52","u_dut/u_unified_p4_kernel/ingress_data_q_reg[52]/D","u_dut/kernel_vector_q_reg[0]_rep__0/C","-0.047","5","0.551","1.408","1.959","u_dut/kernel_vector_q_reg[0]_rep__0","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[52]","SLICE_X72Y133","SLICE_X72Y133","CLEL_R_X46Y133","251","110","X2Y2","kernel_vector"
"53","u_dut/u_unified_p4_kernel/ingress_data_q_reg[53]/D","u_dut/kernel_cut_h_q_reg[4]/C","-0.089","4","0.618","1.415","2.033","u_dut/kernel_cut_h_q_reg[4]","SLICE_X69Y132","SLICE_X69Y132","CLEL_L_X45Y132","244","111","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[53]","SLICE_X70Y148","SLICE_X70Y148","CLEL_R_X45Y148","246","95","X2Y2","kernel_control"
