index,slack,datapath_delay,logic_levels,startpoint,endpoint
179,-0.723,2.704,5,vector_buf_a_reg[47][10]/C,operand_x_reg_reg[44][10]/D
180,-0.723,2.705,5,vector_buf_a_reg[51][15]/C,operand_x_reg_reg[117][15]/D
181,-0.723,2.704,2,sched_src_reg_reg[70][1]_rep__0/C,operand_x_reg_reg[99][8]/D
182,-0.723,2.703,4,vector_buf_b_reg[58][15]/C,operand_x_reg_reg[95][15]/D
183,-0.723,2.703,1,issue_cycle_reg[2]_rep__4/C,sched_src_reg_reg[28][1]_rep__22/D
184,-0.723,2.704,4,sched_src_reg_reg[24][1]_rep__17/C,operand_x_reg_reg[109][2]/D
185,-0.723,2.705,6,bf_cycle_reg[3]/C,signal_reg_reg[71][19]/D
186,-0.723,2.702,4,lane_product_reg_reg[127][3]/C,red_s0_data_reg[61][21]/D
187,-0.722,2.705,6,bf_cycle_reg[3]/C,signal_reg_reg[98][17]/D
188,-0.722,2.703,5,vector_buf_a_reg[21][9]/C,operand_x_reg_reg[17][9]/D
189,-0.722,2.703,5,vector_buf_b_reg[46][0]/C,operand_x_reg_reg[70][0]/D
190,-0.722,2.705,2,sched_src_reg_reg[99][2]_rep/C,operand_x_reg_reg[94][11]/D
191,-0.722,2.705,6,bf_cycle_reg[3]/C,signal_reg_reg[85][13]/D
192,-0.722,2.705,4,vector_buf_b_reg[23][2]/C,operand_x_reg_reg[74][2]/D
193,-0.722,2.703,4,vector_buf_a_reg[1][6]/C,operand_x_reg_reg[99][6]/D
194,-0.721,2.702,5,vector_buf_b_reg[21][1]/C,operand_x_reg_reg[28][1]/D
195,-0.721,2.701,5,vector_buf_b_reg[39][11]/C,operand_x_reg_reg[46][11]/D
196,-0.721,2.702,6,bf_cycle_reg[3]/C,signal_reg_reg[56][21]/D
197,-0.721,2.701,7,operand_x_reg_reg[3][15]/C,lane_product_reg_reg[3][20]/D
198,-0.720,2.701,7,operand_x_reg_reg[17][8]/C,lane_product_reg_reg[17][12]/D
199,-0.720,2.703,7,operand_x_reg_reg[83][11]/C,lane_product_reg_reg[83][22]/D
200,-0.720,2.703,7,operand_coeff_reg_reg[117][4]/C,lane_product_reg_reg[92][16]/D
201,-0.720,2.702,6,bf_cycle_reg[3]/C,signal_reg_reg[97][18]/D
202,-0.719,2.700,7,operand_x_reg_reg[72][15]/C,lane_product_reg_reg[72][16]/D
203,-0.719,2.702,7,operand_x_reg_reg[95][4]/C,lane_product_reg_reg[95][15]/D
204,-0.719,2.700,2,sched_src_reg_reg[28][4]/C,operand_x_reg_reg[12][15]/D
205,-0.719,2.701,5,vector_buf_a_reg[59][11]/C,operand_x_reg_reg[111][11]/D
206,-0.719,2.698,5,vector_buf_b_reg[49][6]/C,operand_x_reg_reg[111][6]/D
207,-0.719,2.699,5,vector_buf_a_reg[63][13]/C,operand_x_reg_reg[50][13]/D
208,-0.719,2.700,1,issue_cycle_reg[2]/C,sched_src_reg_reg[29][5]_rep__1/D
209,-0.719,2.701,6,bf_cycle_reg[3]/C,signal_reg_reg[4][13]/D
210,-0.718,2.700,3,sched_src_reg_reg[46][2]_rep/C,operand_x_reg_reg[69][5]/D
211,-0.718,2.699,5,vector_buf_a_reg[28][6]/C,operand_x_reg_reg[117][6]/D
212,-0.718,2.697,1,issue_cycle_reg[0]_rep/C,sched_valid_reg_reg[126]_rep__5/D
213,-0.718,2.700,7,operand_x_reg_reg[47][15]/C,lane_product_reg_reg[47][22]/D
214,-0.717,2.699,5,vector_buf_b_reg[37][5]/C,operand_x_reg_reg[70][5]/D
215,-0.717,2.698,1,issue_cycle_reg[3]_rep__2/C,sched_src_reg_reg[46][5]/D
216,-0.717,2.697,5,vector_buf_a_reg[23][10]/C,operand_x_reg_reg[3][10]/D
217,-0.716,2.698,5,vector_buf_a_reg[18][2]/C,operand_x_reg_reg[17][2]/D
218,-0.716,2.698,7,operand_x_reg_reg[49][1]/C,lane_product_reg_reg[49][4]/D
