index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,path_group,path_type,startpoint,endpoint,start_cell,start_loc,start_bel,start_ref,start_fanout,end_cell,end_loc,end_bel,end_ref
10,LFNST_control,-0.041000,1.938000,0.600000,1.338000,"5","","","lfnst_ntrs48_q_reg/C","lfnst_grid_reg[0][13]/CE","lfnst_ntrs48_q_reg","SLICE_X73Y20","SLICEL.AFF","FDCE","","lfnst_grid_reg[0][13]","SLICE_X71Y21","SLICEM.GFF","FDCE"
11,LFNST_control,-0.041000,1.938000,0.600000,1.338000,"5","","","lfnst_ntrs48_q_reg/C","lfnst_grid_reg[0][14]/CE","lfnst_ntrs48_q_reg","SLICE_X73Y20","SLICEL.AFF","FDCE","","lfnst_grid_reg[0][14]","SLICE_X71Y21","SLICEM.FFF","FDCE"
12,LFNST_control,-0.041000,1.938000,0.600000,1.338000,"5","","","lfnst_ntrs48_q_reg/C","lfnst_grid_reg[0][9]/CE","lfnst_ntrs48_q_reg","SLICE_X73Y20","SLICEL.AFF","FDCE","","lfnst_grid_reg[0][9]","SLICE_X71Y21","SLICEM.EFF","FDCE"
13,P4_fifo_control,-0.041000,2.022000,0.668000,1.354000,"7","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__2/C","vwrite_cmd_data_q_reg[0][1]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__2","SLICE_X68Y137","SLICEL.AFF","FDCE","","vwrite_cmd_data_q_reg[0][1]","SLICE_X69Y109","SLICEL.GFF","FDCE"
14,LFNST_control,-0.036000,1.933000,0.600000,1.333000,"5","","","lfnst_ntrs48_q_reg/C","lfnst_grid_reg[0][15]/CE","lfnst_ntrs48_q_reg","SLICE_X73Y20","SLICEL.AFF","FDCE","","lfnst_grid_reg[0][15]","SLICE_X72Y21","SLICEL.DFF","FDCE"
15,LFNST_control,-0.036000,1.933000,0.600000,1.333000,"5","","","lfnst_ntrs48_q_reg/C","lfnst_grid_reg[0][6]/CE","lfnst_ntrs48_q_reg","SLICE_X73Y20","SLICEL.AFF","FDCE","","lfnst_grid_reg[0][6]","SLICE_X72Y21","SLICEL.CFF","FDCE"
16,wrapper_kernel_vector,-0.036000,2.016000,0.536000,1.480000,"5","","","kernel_vector_q_reg[0]_rep__1/C","u_unified_p4_kernel/ingress_data_q_reg[10]/D","kernel_vector_q_reg[0]_rep__1","SLICE_X69Y33","SLICEL.FFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[10]","SLICE_X69Y61","SLICEL.CFF","FDRE"
17,P4_fifo_control,-0.033000,2.012000,0.509000,1.503000,"7","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__5/C","vwrite_cmd_data_q_reg[0][10]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__5","SLICE_X71Y152","SLICEM.BFF","FDCE","","vwrite_cmd_data_q_reg[0][10]","SLICE_X72Y123","SLICEL.AFF","FDCE"
18,wrapper_kernel_vector,-0.031000,1.928000,0.458000,1.470000,"5","","","kernel_vector_q_reg[2]/C","kernel_rd_req_group_q_reg[0]/CE","kernel_vector_q_reg[2]","SLICE_X70Y31","SLICEL.BFF2","FDCE","","kernel_rd_req_group_q_reg[0]","SLICE_X73Y54","SLICEL.AFF","FDCE"
19,wrapper_kernel_vector,-0.031000,1.928000,0.458000,1.470000,"5","","","kernel_vector_q_reg[2]/C","kernel_rd_req_group_q_reg[2]/CE","kernel_vector_q_reg[2]","SLICE_X70Y31","SLICEL.BFF2","FDCE","","kernel_rd_req_group_q_reg[2]","SLICE_X73Y54","SLICEL.DFF","FDCE"
